City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
301,hervey bay,0,AU,1536526126,100,-25.3,152.85,63.64,10.09
302,esterhazy,12,CA,1536526127,50,50.65,-102.08,71.83,17.69
303,shizukuishi,92,JP,1536526127,97,39.7,140.98,57.25,2.59
304,kaohsiung,75,TW,1536523200,88,22.62,120.31,78.8,5.82
305,bulungu,0,CD,1536526127,95,-4.54,18.6,70.12,2.93
306,ranong,76,TH,1536526127,100,9.96,98.62,80.29,9.86
307,flinders,20,AU,1536523200,81,-34.58,150.85,46.4,3.36
308,angoche,8,MZ,1536526128,100,-16.23,39.91,77.14,20.6
309,derzhavinsk,44,KZ,1536526128,66,51.1,66.31,53.11,7.52
310,faanui,36,PF,1536526128,100,-16.48,-151.75,77.41,7.18
311,roald,75,NO,1536524400,76,62.58,6.12,62.6,10.29
312,coahuayana,68,MX,1536526129,81,18.62,-100.35,75.16,2.93
313,wonthaggi,0,AU,1536526129,90,-38.6,145.59,51.13,4.72
314,itaituba,40,BR,1536523200,66,-4.26,-55.99,86.0,9.17
315,vardo,90,US,1536525180,96,39.62,-77.74,60.98,8.05
316,roura,0,GF,1536523200,55,4.73,-52.33,89.6,10.29
317,sindor,44,RU,1536526130,88,62.87,51.9,38.62,2.59
318,santona,40,ES,1536525000,94,43.44,-3.46,69.8,3.36
319,waipawa,0,NZ,1536526130,72,-39.94,176.59,43.12,4.94
320,mopti,68,ML,1536526130,92,14.49,-4.19,74.89,4.5
321,hay river,40,CA,1536523200,52,60.82,-115.79,46.4,5.82
322,narsaq,48,GL,1536522600,66,60.91,-46.05,48.2,6.93
323,sisimiut,92,GL,1536526131,95,66.94,-53.67,36.28,2.71
324,beira,0,ES,1536525000,93,43.2,-8.36,62.6,3.71
325,salisbury,0,GB,1536524400,87,51.07,-1.8,64.4,5.82
326,bilibino,0,RU,1536526131,59,68.06,166.44,56.98,6.4
327,lamar,1,US,1536522780,44,38.09,-102.62,84.02,9.17
328,rudnyy,40,KZ,1536523200,87,52.96,63.12,53.6,8.95
329,pachora,12,IN,1536526132,86,20.66,75.35,68.86,6.4
330,tazmalt,92,DZ,1536523200,78,36.39,4.4,78.8,6.93
331,baruun-urt,0,MN,1536526074,51,46.68,113.28,47.98,13.0
332,okhotsk,92,RU,1536526132,100,59.36,143.24,48.88,11.99
333,jacareacanga,44,BR,1536526133,74,-6.22,-57.76,84.16,2.93
334,pevek,36,RU,1536526133,74,69.7,170.27,52.66,12.21
335,irpa irpa,20,BO,1536523200,15,-17.72,-66.29,78.8,13.87
336,maraa,24,BR,1536526133,57,-1.83,-65.37,89.29,2.37
337,vestmannaeyjar,80,IS,1536526043,98,63.44,-20.27,48.52,7.63
338,isiro,32,CD,1536526133,98,2.77,27.62,68.32,2.15
339,san carlos de bariloche,0,AR,1536523200,26,-41.13,-71.31,60.8,13.87
340,esperance,40,TT,1536523200,66,10.24,-61.45,87.8,9.17
341,phalaborwa,0,ZA,1536523200,38,-23.95,31.14,59.0,5.82
342,berlevag,0,NO,1536522600,93,70.86,29.09,46.4,3.36
343,dickinson,90,US,1536522960,54,46.88,-102.79,71.06,8.05
344,galle,75,US,1536524880,78,29.74,-97.91,80.96,6.93
345,rawson,0,AR,1536526135,27,-43.3,-65.11,62.29,15.01
346,wanning,0,AT,1536524400,77,48.64,13.53,60.8,1.12
347,henties bay,0,NA,1536526135,92,-22.12,14.28,56.35,3.71
348,maputo,0,MZ,1536523200,51,-25.97,32.57,60.8,10.29
349,georgetown,75,GY,1536523200,94,6.8,-58.16,77.0,16.11
350,champerico,75,MX,1536522300,55,16.38,-93.6,87.8,2.93
351,beloha,92,MG,1536526136,93,-25.17,45.06,67.42,10.98
352,mucuri,68,BR,1536526137,83,-18.08,-39.55,72.28,9.75
353,mana,0,RS,1536525000,100,43.52,20.24,59.0,1.12
354,trinidad,0,UY,1536525853,42,-33.52,-56.9,67.96,14.79
355,praia,0,BR,1536523200,28,-20.25,-43.81,80.6,5.82
356,sao paulo de olivenca,36,BR,1536526138,81,-3.38,-68.87,81.91,1.14
357,te anau,92,NZ,1536526138,99,-45.41,167.72,39.79,2.93
358,basco,1,US,1536525300,49,40.33,-91.2,75.2,9.17
359,coquimbo,75,CL,1536523200,87,-29.95,-71.34,53.6,11.41
360,zyryanka,44,RU,1536526138,57,65.73,150.89,58.51,12.77
361,boende,68,CD,1536526138,98,-0.28,20.88,72.01,2.15
362,camacha,40,PT,1536525000,68,33.08,-16.33,71.6,12.75
363,elverum,92,NO,1536526139,98,60.88,11.56,53.65,7.4
364,doka,88,SD,1536526139,89,13.52,35.76,71.56,4.61
365,paungde,44,MM,1536526140,99,18.49,95.51,73.0,4.16
366,teguldet,56,RU,1536526140,97,57.31,88.17,52.39,4.16
367,launceston,0,AU,1536525000,87,-41.43,147.14,44.6,11.41
368,valley,32,GB,1536522600,72,53.28,-4.56,60.8,16.11
369,coihaique,0,CL,1536523200,44,-45.58,-72.07,57.2,6.93
370,tsumeb,0,NA,1536526141,32,-19.25,17.72,54.28,10.2
371,tomobe,75,JP,1536523200,100,36.35,140.3,75.2,6.93
372,egvekinot,20,RU,1536526141,85,66.32,-179.17,56.62,3.27
373,mayumba,12,GA,1536526141,99,-3.44,10.65,73.36,6.17
374,tuni,20,BO,1536523200,26,-16.67,-68.14,57.2,10.29
375,lompoc,1,US,1536525300,29,34.64,-120.46,89.6,10.29
376,babra,0,IN,1536526142,94,21.84,71.3,72.91,6.85
377,evensk,92,RU,1536526142,100,61.92,159.24,52.39,10.31
378,sorland,0,NO,1536522600,55,67.67,12.69,64.4,14.99
379,khandyga,92,RU,1536526142,100,62.65,135.58,35.38,7.07
380,yulara,0,AU,1536523200,25,-25.24,130.99,51.8,8.05
381,hofn,92,IS,1536526143,100,64.25,-15.21,48.52,4.72
382,kattivakkam,20,IN,1536525000,70,13.22,80.32,84.2,5.82
